,Unnamed: 0,objectid,site_seq_no,wdrl_year,water_use_code,method_code,source_site_seq_no,report_comment,wdrl_flag,jan_wdrl_gpm_amt,feb_wdrl_gpm_amt,mar_wdrl_gpm_amt,apr_wdrl_gpm_amt,may_wdrl_gpm_amt,jun_wdrl_gpm_amt,jul_wdrl_gpm_amt,aug_wdrl_gpm_amt,sep_wdrl_gpm_amt,oct_wdrl_gpm_amt,nov_wdrl_gpm_amt,dec_wdrl_gpm_amt,annual_wdrl_amt,wdrl_type,well_depth_m,borehole_radius_mm,well_radius_mm,elev_open_int_top_m,elev_open_int_bot_m,screen_length_m,screen_midpoint_elev_m,no_depth_data
21,21,22,5224,2010,IR10,THM,1931,,Y,0,0,0,0,0,0,500000,0,0,0,0,0,500000,GW,81.0,191.0,191.0,287.0,251.0,36.0,269.0,F
281,282,283,5224,2011,,,1931,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,GW,81.0,191.0,191.0,287.0,251.0,36.0,269.0,F
328,329,330,11618,2011,IR10,THM,1724,,Y,0,0,0,0,1582200,11538600,17066400,18204600,3886200,0,0,0,52278000,GW,45.0,381.0,203.0,298.0,291.0,7.0,294.5,F
332,333,334,7758,2011,IR10,THM,5791,,Y,0,0,0,0,1096200,10742400,21106800,22640400,6129600,0,0,0,61715400,GW,43.0,,,,,13.0,,T
333,334,335,5210,2011,IR10,THM,1721,,Y,0,0,0,0,1967400,10935600,16451400,10669800,2200200,0,0,0,42224400,GW,31.0,381.0,203.0,299.0,290.0,9.0,294.5,F
334,335,336,11617,2011,DS11,LER,7966,,Y,0,0,0,4000,4000,4000,4000,4000,4000,4000,4000,4000,36000,GW,43.0,,,,,13.0,,T
339,340,341,13978,2011,IR10,THM,817,,Y,0,0,0,0,2674800,23401800,29093400,23201400,5318400,0,0,0,83689800,GW,43.0,,,,,13.0,,T
460,463,464,6722,2011,IR10,THM,6000,,Y,0,0,0,0,0,1458000,9922500,6277500,0,0,0,0,17658000,GW,43.0,,,,,13.0,,T
647,652,653,7758,2012,IR10,THM,5791,,Y,0,0,0,1315800,5837400,22632600,36988800,20611800,4252800,0,0,0,91639200,GW,43.0,,,,,13.0,,T
665,671,672,6899,2012,IR10,COTH,4552,,Y,0,0,0,0,0,432000,3456000,3456000,1728000,0,0,0,9072000,GW,43.0,,,,,13.0,,T
778,785,786,12640,2012,IR10,THM,6014,,Y,0,0,0,0,10080000,28224000,28224000,28224000,10080000,0,0,0,104832000,GW,43.0,,,,,13.0,,T
954,968,969,6481,2013,IR10,THM,773,,Y,0,0,0,375000,0,0,19305600,23881200,7780200,0,0,0,51342000,GW,43.0,,,,,13.0,,T
955,969,970,3883,2013,IR10,THM,1723,,Y,0,0,0,0,0,9699600,25543800,22215000,6144000,0,0,0,63602400,GW,44.0,406.0,203.0,294.0,285.0,9.0,289.5,F
956,970,971,7758,2013,IR10,THM,5791,,Y,0,0,0,0,0,1630800,23694000,31554000,12029400,0,0,0,68908200,GW,43.0,,,,,13.0,,T
957,971,972,10335,2013,LV20,LEW,7868,,Y,1200,1200,1200,1200,800,800,800,800,1200,1200,1200,1200,12800,GW,27.0,84.0,84.0,299.0,298.0,1.0,298.5,F
958,972,973,12804,2013,LV20,LEO,7965,,Y,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,12000,GW,43.0,,,,,13.0,,T
1053,1070,1071,13978,2013,IR10,THM,817,,Y,0,0,0,0,793800,3630000,19932000,32926200,17524800,10395600,0,0,85202400,GW,43.0,,,,,13.0,,T
1501,1519,1520,3884,2010,LV20,LEO,2211,,Y,80000,80000,60000,30000,10000,10000,10000,20000,20000,20000,20000,50000,410000,GW,43.0,,,,,13.0,,T
1502,1520,1521,11616,2010,IR10,THM,974,,Y,0,0,0,1785600,4305600,6799800,10516200,10399800,0,0,0,0,33807000,GW,43.0,,,,,13.0,,T
1504,1522,1523,7758,2010,IR10,THM,5791,,Y,0,0,0,125400,3597600,2200800,12582600,2727000,0,0,0,0,21233400,GW,43.0,,,,,13.0,,T
1505,1523,1524,10335,2010,DS11,LEW,7868,,Y,1200,1200,1200,800,800,800,800,800,800,800,1200,1200,11600,GW,27.0,84.0,84.0,299.0,298.0,1.0,298.5,F
1593,1612,1613,6481,2011,IR10,THM,773,,Y,0,0,0,0,0,5814600,22547400,1354800,0,0,0,0,29716800,GW,43.0,,,,,13.0,,T
1594,1613,1614,3884,2011,LV20,LEO,2211,,Y,80000,80000,60000,50000,50000,20000,20000,20000,50000,50000,50000,50000,580000,GW,43.0,,,,,13.0,,T
1918,1946,1947,11618,2012,IR10,THM,1724,,Y,0,0,0,0,9886200,28076400,37338000,11219400,1047600,0,0,0,87567600,GW,45.0,381.0,203.0,298.0,291.0,7.0,294.5,F
1919,1947,1948,7759,2012,IR10,THM,5925,,Y,0,0,0,0,3429600,17935800,30000000,24072000,3289800,0,0,0,78727200,GW,43.0,,,,,13.0,,T
1920,1948,1949,9083,2012,IR10,THM,970,,Y,0,0,0,1157640,9324480,30013500,39955080,18986220,2966040,0,0,0,102402960,GW,43.0,,,,,13.0,,T
1931,1960,1961,11617,2012,DS11,LER,7966,,Y,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,24000,GW,43.0,,,,,13.0,,T
1932,1961,1962,10335,2012,LV20,LEW,7868,,Y,1200,1200,1200,800,800,800,800,800,800,1200,1200,1200,12000,GW,27.0,84.0,84.0,299.0,298.0,1.0,298.5,F
2046,2079,2080,13978,2012,IR10,THM,817,,Y,0,0,0,0,2013600,9328800,7592400,33594600,21368400,9658200,0,0,83556000,GW,43.0,,,,,13.0,,T
2214,2257,2258,9083,2013,IR10,THM,970,,Y,0,0,0,0,3779820,3059760,14373480,15805020,10601580,0,0,0,47619660,GW,43.0,,,,,13.0,,T
2215,2258,2259,5211,2013,IR10,THM,5852,,Y,0,0,0,0,0,6271320,25863420,28371420,10478160,0,0,0,70984320,GW,43.0,,,,,13.0,,T
2216,2259,2260,7759,2013,IR10,THM,5925,,Y,0,0,0,0,870600,7384800,24375000,13273800,7815000,0,0,0,53719200,GW,43.0,,,,,13.0,,T
2319,2362,2363,6722,2013,IR10,COTH,6000,,Y,0,0,0,0,468000,3276000,4212000,2340000,2808000,936000,0,0,14040000,GW,43.0,,,,,13.0,,T
2334,2377,2378,22221,2013,,,18342,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,GW,43.0,,,,,13.0,,T
2368,2412,2413,6707,2013,,,5800,,N,0,0,0,0,0,0,0,0,0,0,0,0,0,GW,43.0,,,,,13.0,,T
2717,2763,2764,6899,2010,IR10,,4552,,Y,0,0,0,0,0,0,840000,0,0,0,0,0,840000,GW,43.0,,,,,13.0,,T
2796,2842,2843,6480,2010,IR10,THM,716,,Y,0,0,0,0,8209740,5280000,6600000,11000220,0,0,0,0,31089960,GW,43.0,,,,,13.0,,T
2798,2844,2845,11618,2010,IR10,THM,1724,,Y,0,0,0,1725000,3994800,2893200,9300000,11012400,0,0,0,0,28925400,GW,45.0,381.0,203.0,298.0,291.0,7.0,294.5,F
2883,2934,2935,6480,2011,IR10,THM,716,,Y,0,0,0,0,1494240,10505880,17600220,15556860,2916540,0,0,0,48073740,GW,43.0,,,,,13.0,,T
2885,2936,2937,9083,2011,IR10,THM,970,,Y,0,0,0,0,1731180,14735160,22095480,21300180,4546740,0,0,0,64408740,GW,43.0,,,,,13.0,,T
3191,3256,3257,3884,2012,LV20,LEO,2211,,Y,20000,20000,20000,1000,1000,5000,50000,100000,200000,250000,300000,200000,1167000,GW,43.0,,,,,13.0,,T
3458,3531,3532,11618,2013,IR10,THM,1724,,Y,0,0,0,0,0,3097800,18183600,17534400,9513600,0,0,0,48329400,GW,45.0,381.0,203.0,298.0,291.0,7.0,294.5,F
3814,3891,3892,4111,2010,,THM,5711,,Y,0,0,0,0,2795550,1957850,8266500,0,0,0,0,0,13019900,GW,43.0,,,,,13.0,,T
3893,3970,3971,6722,2010,IR10,THM,6000,,Y,0,0,0,858000,2574000,2970000,1188000,2376000,1716000,0,0,0,11682000,GW,43.0,,,,,13.0,,T
4031,4108,4109,3883,2010,IR10,THM,1723,,Y,0,0,0,3499800,12185400,13618200,18135000,15438000,965400,0,0,0,63841800,GW,44.0,406.0,203.0,294.0,285.0,9.0,289.5,F
4032,4109,4110,7759,2010,IR10,THM,5925,,Y,0,0,0,1035600,8371200,10353600,12421200,5515800,0,0,0,0,37697400,GW,43.0,,,,,13.0,,T
4033,4110,4111,11617,2010,DS11,LER,7966,,Y,4000,4000,4000,4000,0,0,0,0,0,0,0,0,16000,GW,43.0,,,,,13.0,,T
4106,4185,4186,6707,2011,,,5800,,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,GW,43.0,,,,,13.0,,T
4125,4204,4205,10335,2011,LV20,LEW,7868,,Y,1200,1200,1200,800,800,800,800,800,800,800,1200,1200,11600,GW,27.0,84.0,84.0,299.0,298.0,1.0,298.5,F
